mu0,mu1,mu2,mu3,mu4,mu5,mu6,mu7,sigma0,sigma1,sigma2,sigma3,sigma4,sigma5,sigma6,sigma7,nlml,id
35.61,40.875,27.159,8.4971,25,22.342,25,25,0.53942,0.46724,0.53942,0.53942,11.402,0.53942,11.402,11.402,20.065,1
35.615,40.902,27.16,8.488,25,22.341,25,25,0.385,0.31438,0.385,0.385,11.407,0.385,11.407,11.407,20.051,1
35.616,40.845,27.16,8.4866,25,22.34,25,25,0.35388,0.2798,0.35388,0.35388,11.391,0.35388,11.391,11.391,20.053,1
35.615,40.93,27.16,8.4891,25,22.341,25,25,0.40606,0.31458,0.40606,0.40606,11.415,0.40606,11.415,11.415,20.759,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
25.315,27.006,28.719,27.006,25.315,25.014,25,25,3.7079,3.1344,0.14132,3.1344,3.7079,3.7212,3.7212,3.7212,2.733,1
23.942,24.009,28.721,38.91,45.691,41.589,32.633,27.053,13.832,9.1059,0.14162,5.2471,0.14162,9.1059,13.832,14.793,8.1714,1
23.948,23.996,28.723,39.026,45.893,41.703,32.631,27.03,13.988,9.2384,0.40839,5.3475,0.3537,9.2369,13.988,14.94,8.7154,1
23.954,23.981,28.725,39.164,46.131,41.837,32.629,27.002,14.175,9.3992,0.65763,5.4716,0.53707,9.3942,14.174,15.116,10.072,1
23.957,23.973,28.725,39.23,46.247,41.902,32.628,26.989,14.26,9.4686,0.6254,5.5201,0.49452,9.4635,14.259,15.196,10.73,1
23.961,23.964,28.725,39.311,46.388,41.981,32.627,26.973,14.368,9.5609,0.70217,5.5897,0.54405,9.5542,14.367,15.299,11.922,1
23.96,23.965,28.725,39.299,46.367,41.969,32.626,26.976,14.35,9.5435,0.63284,5.5743,0.48345,9.5378,14.349,15.282,12.21,1
23.961,23.963,28.724,39.313,46.392,41.982,32.626,26.973,14.367,9.5558,0.58446,5.5815,0.44189,9.5509,14.366,15.297,12.427,1
23.96,23.964,28.724,39.305,46.379,41.975,32.626,26.974,14.356,9.5456,0.54379,5.5728,0.40791,9.5412,14.355,15.287,12.523,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
25.541,28.45,31.396,28.45,25.541,25.025,25,25,6.3748,5.3877,0.14067,5.3877,6.3748,6.3977,6.3977,6.3977,3.2749,1
28.611,29.969,31.399,32.842,34.234,35.511,36.611,37.481,1.4753,0.67303,0.14067,0.47919,0.71011,0.71011,0.47919,0.14067,6.8888,1
14.538,24.992,31.397,25.012,25,25,25.024,37.482,0.14247,10.103,0.14247,10.103,10.103,10.103,10.103,0.14247,11.195,1
14.537,42.717,31.397,25,25,25,25,37.482,0.14247,0.14247,0.14247,12.452,12.452,12.452,12.452,0.14247,15.763,1
14.54,42.573,31.396,25,25,25,25,37.48,0.28667,0.24827,0.28667,12.401,12.401,12.401,12.401,0.28667,15.917,1
